SampleID,Zip_Code,Ward,Time,Lead_ppb
72,48507,5,First Draw,11.52
72,48507,5,Forty Five Sec,0.288
72,48507,5,Two Min,0.215
73,48507,8,First Draw,3.784
73,48507,8,Forty Five Sec,0.292
73,48507,8,Two Min,0.258
74,48503,5,First Draw,1.344
74,48503,5,Forty Five Sec,0.729
74,48503,5,Two Min,1.226
75,48504,6,First Draw,11.93
75,48504,6,Forty Five Sec,9.645
75,48504,6,Two Min,3.514
76,48507,9,First Draw,10.96
76,48507,9,Forty Five Sec,7.744
76,48507,9,Two Min,4.16
77,48504,6,First Draw,3.341
77,48504,6,Forty Five Sec,0.555
77,48504,6,Two Min,0.917
78,48503,5,First Draw,1.229
78,48503,5,Forty Five Sec,1.192
78,48503,5,Two Min,0.218
79,48503,6,First Draw,5.153
79,48503,6,Forty Five Sec,0.385
79,48503,6,Two Min,0.322
80,48504,6,First Draw,6.054
80,48504,6,Forty Five Sec,0.927
80,48504,6,Two Min,0.676
82,48504,2,First Draw,31.14
82,48504,2,Forty Five Sec,4.73
82,48504,2,Two Min,3.188
83,48504,6,First Draw,102.7
83,48504,6,Forty Five Sec,9.894
83,48504,6,Two Min,3.133
84,48504,2,First Draw,1.38
84,48504,2,Forty Five Sec,3.734
84,48504,2,Two Min,0.524
85,48505,3,First Draw,1.132
85,48505,3,Forty Five Sec,2.17
85,48505,3,Two Min,0.465
87,48507,9,First Draw,3.232
87,48507,9,Forty Five Sec,2.989
87,48507,9,Two Min,1.927
88,48532,8,First Draw,0.507
88,48532,8,Forty Five Sec,2.315
88,48532,8,Two Min,0.231
90,48506,4,First Draw,8.561
90,48506,4,Forty Five Sec,5.141
90,48506,4,Two Min,4.724
91,48505,3,First Draw,9.997
91,48505,3,Forty Five Sec,0.983
91,48505,3,Two Min,0.611
92,48504,1,First Draw,4.152
92,48504,1,Forty Five Sec,0.758
92,48504,1,Two Min,0.433
93,48504,2,First Draw,75.82
93,48504,2,Forty Five Sec,11.65
93,48504,2,Two Min,3.942
95,48506,4,First Draw,138.8
95,48506,4,Forty Five Sec,2.745
95,48506,4,Two Min,0.797
96,48507,9,First Draw,0.8
96,48507,9,Forty Five Sec,0.2
96,48507,9,Two Min,0.2
97,48504,2,First Draw,7.244
97,48504,2,Forty Five Sec,1051
97,48504,2,Two Min,1.328
98,48506,3,First Draw,1.621
98,48506,3,Forty Five Sec,0.3
98,48506,3,Two Min,0.238
99,48505,1,First Draw,1.032
99,48505,1,Forty Five Sec,0.363
99,48505,1,Two Min,0.216
100,48504,2,First Draw,0.866
100,48504,2,Forty Five Sec,0.292
100,48504,2,Two Min,0.269
101,48504,2,First Draw,2.525
101,48504,2,Forty Five Sec,0.59
101,48504,2,Two Min,0.438
102,48505,5,First Draw,9.408
102,48505,5,Forty Five Sec,4.444
102,48505,5,Two Min,3.935
103,48505,1,First Draw,0.739
103,48505,1,Forty Five Sec,4.883
103,48505,1,Two Min,0.953
104,48505,1,First Draw,0.9
104,48505,1,Forty Five Sec,0.2
104,48505,1,Two Min,0.1
105,48504,2,First Draw,1.403
105,48504,2,Forty Five Sec,0.142
105,48504,2,Two Min,0.121
106,48503,8,First Draw,5.655
106,48503,8,Forty Five Sec,5.882
106,48503,8,Two Min,10.66
107,48505,2,First Draw,31.06
107,48505,2,Forty Five Sec,8.578
107,48505,2,Two Min,3.176
108,48506,4,First Draw,1.469
108,48506,4,Forty Five Sec,0.291
108,48506,4,Two Min,0.25
109,48505,1,First Draw,23.85
109,48505,1,Forty Five Sec,2.301
109,48505,1,Two Min,1.62
110,48505,2,First Draw,9.766
110,48505,2,Forty Five Sec,11.13
110,48505,2,Two Min,7.144
111,48505,1,First Draw,4.69
111,48505,1,Forty Five Sec,0.953
111,48505,1,Two Min,0.929
112,48505,3,First Draw,4.066
112,48505,3,Forty Five Sec,5.894
112,48505,3,Two Min,4.76
113,48505,1,First Draw,0.846
113,48505,1,Forty Five Sec,0.455
113,48505,1,Two Min,0.366
114,48505,1,First Draw,2.054
114,48505,1,Forty Five Sec,3.978
114,48505,1,Two Min,0.355
115,48506,7,First Draw,3.744
115,48506,7,Forty Five Sec,5.592
115,48506,7,Two Min,2.476
116,48507,9,First Draw,12.9
116,48507,9,Forty Five Sec,2.202
116,48507,9,Two Min,1.667
117,48505,1,First Draw,0.543
117,48505,1,Forty Five Sec,0.183
117,48505,1,Two Min,0.162
118,48503,7,First Draw,6.877
118,48503,7,Forty Five Sec,2.984
118,48503,7,Two Min,2.201
119,48505,1,First Draw,0.552
119,48505,1,Forty Five Sec,0.19
119,48505,1,Two Min,0.205
121,48506,3,First Draw,59
121,48506,3,Forty Five Sec,2.9
121,48506,3,Two Min,0.5
122,48506,4,First Draw,0.349
122,48506,4,Forty Five Sec,0.13
122,48506,4,Two Min,0.131
123,48506,4,First Draw,4.764
123,48506,4,Forty Five Sec,1.388
123,48506,4,Two Min,1.06
124,48506,4,First Draw,0.832
124,48506,4,Forty Five Sec,0.284
124,48506,4,Two Min,0.214
125,48506,4,First Draw,1.224
125,48506,4,Forty Five Sec,0.568
125,48506,4,Two Min,0.465
126,48507,9,First Draw,15.9
126,48507,9,Forty Five Sec,3.7
126,48507,9,Two Min,2.2
127,48506,4,First Draw,5.667
127,48506,4,Forty Five Sec,1.405
127,48506,4,Two Min,0.896
128,48506,4,First Draw,3.564
128,48506,4,Forty Five Sec,2.767
128,48506,4,Two Min,2.127
129,48506,4,First Draw,0.475
129,48506,4,Forty Five Sec,0.2
129,48506,4,Two Min,0.268
130,48507,9,First Draw,5.3
130,48507,9,Forty Five Sec,0.5
130,48507,9,Two Min,0.2
131,48506,4,First Draw,1.166
131,48506,4,Forty Five Sec,0.736
131,48506,4,Two Min,0.269
132,48506,4,First Draw,0.684
132,48506,4,Forty Five Sec,0.306
132,48506,4,Two Min,0.094
133,48503,8,First Draw,6.347
133,48503,8,Forty Five Sec,1.724
133,48503,8,Two Min,0.678
134,48507,9,First Draw,10.56
134,48507,9,Forty Five Sec,5.672
134,48507,9,Two Min,4.813
135,48502,5,First Draw,2.273
135,48502,5,Forty Five Sec,2.808
135,48502,5,Two Min,3.048
136,48505,1,First Draw,1.571
136,48505,1,Forty Five Sec,1.265
136,48505,1,Two Min,0.316
137,48503,8,First Draw,5.402
137,48503,8,Forty Five Sec,4.196
137,48503,8,Two Min,1.945
138,48504,6,First Draw,43.19
138,48504,6,Forty Five Sec,7.688
138,48504,6,Two Min,4.39
139,48503,8,First Draw,1.492
139,48503,8,Forty Five Sec,1.409
139,48503,8,Two Min,0.378
140,48503,5,First Draw,66.24
140,48503,5,Forty Five Sec,17.75
140,48503,5,Two Min,8.815
141,48505,1,First Draw,1.799
141,48505,1,Forty Five Sec,0.032
141,48505,1,Two Min,0.031
142,48503,8,First Draw,1.861
142,48503,8,Forty Five Sec,1.355
142,48503,8,Two Min,0.64
143,48503,8,First Draw,2.672
143,48503,8,Forty Five Sec,2.001
143,48503,8,Two Min,1.094
144,48505,1,First Draw,3.741
144,48505,1,Forty Five Sec,1.211
144,48505,1,Two Min,0.258
145,48506,4,First Draw,1.934
145,48506,4,Forty Five Sec,0.374
145,48506,4,Two Min,0.424
146,48506,4,First Draw,27.05
146,48506,4,Forty Five Sec,0.902
146,48506,4,Two Min,0.61
147,48506,4,First Draw,1.174
147,48506,4,Forty Five Sec,0.291
147,48506,4,Two Min,4.055
148,48507,9,First Draw,2.325
148,48507,9,Forty Five Sec,1.099
148,48507,9,Two Min,0.466
149,48506,4,First Draw,1.966
149,48506,4,Forty Five Sec,0.253
149,48506,4,Two Min,0.201
150,48506,4,First Draw,1.959
150,48506,4,Forty Five Sec,0.438
150,48506,4,Two Min,0.448
151,48506,4,First Draw,0.823
151,48506,4,Forty Five Sec,1.881
151,48506,4,Two Min,0.412
152,48506,4,First Draw,11.2
152,48506,4,Forty Five Sec,7.553
152,48506,4,Two Min,12.21
153,48504,2,First Draw,5.668
153,48504,2,Forty Five Sec,3.341
153,48504,2,Two Min,3.268
154,48506,4,First Draw,6.261
154,48506,4,Forty Five Sec,1.316
154,48506,4,Two Min,0.5
155,48506,4,First Draw,4.797
155,48506,4,Forty Five Sec,1.594
155,48506,4,Two Min,1.264
156,48506,4,First Draw,0.64
156,48506,4,Forty Five Sec,0.905
156,48506,4,Two Min,0.151
158,48507,9,First Draw,8.713
158,48507,9,Forty Five Sec,2.799
158,48507,9,Two Min,50.97
159,48507,9,First Draw,2.544
159,48507,9,Forty Five Sec,1.099
159,48507,9,Two Min,0.498
161,48507,9,First Draw,0.41
161,48507,9,Forty Five Sec,0.096
161,48507,9,Two Min,0.116
162,48503,7,First Draw,32.85
162,48503,7,Forty Five Sec,35.76
162,48503,7,Two Min,9.103
163,48503,7,First Draw,12.87
163,48503,7,Forty Five Sec,14.87
163,48503,7,Two Min,6.326
164,48503,8,First Draw,38.02
164,48503,8,Forty Five Sec,38.7
164,48503,8,Two Min,38.94
165,48507,9,First Draw,2.435
